class,code,name,prof,time,grade,score,number
실험실습,ECH3024-44,화학공학실험1,김동환,목18:00-18:50【24208】 목19:00-19:50【24208】 목20:00-20:50【24208】 목21:00-21:45【24208】,2,3.68,27
실험실습,ECH3025-41,화학공학실험2,권석준,월18:00-18:50【24103B】 월19:00-19:50【24103B】 월20:00-20:50【24103B】 월21:00-21:45【24103B】,2,0,26
실험실습,ECH3025-43,화학공학실험2,권석준,수18:00-18:50【24103B】 수19:00-19:50【24103B】 수20:00-20:50【24103B】 수21:00-21:45【24103B】,2,0,27
실험실습,ECH3025-44,화학공학실험2,양우석,목18:00-18:50【24103B】 목19:00-19:50【24103B】 목20:00-20:50【24103B】 목21:00-21:45【24103B】,2,4.82,21
전공일반,ECH3030-41,화학공학현장실습2,김윤철,미지정,3,0,0
전공일반,ECH3031-41,화학공학현장실습4,김윤철,미지정,5,5,3
전공일반,ECH3035-41,화학공학현장실습1,김윤철,미지정,2,0,0
전공일반,ECH3036-41,화학공학현장실습3,김윤철,미지정,4,0,0
전공핵심,ECH3053-42,반응공학,조수연,월15:00-16:15【26308】 수16:30-17:45【26308】,3,4.95,84
전공핵심,ECH3053-43,반응공학,김정규,월12:00-13:15【26515】 수13:30-14:45【26515】,3,3.94,85
전공핵심,ECH3053-44,반응공학,김태일,화10:30-11:45【26308】 목09:00-10:15【26308】,3,3.39,34
전공핵심,ECH3055-41,화공및고분자종합설계,김윤철,목09:00-10:15【26513】 목10:30-11:45【26513】,3,4,33
전공일반,ECH3061-41,반도체화학공정,조성민,화09:00-10:15【26507】 목10:30-11:45【26507】,3,4.78,65
전공일반,ECH3064-41,화학공학창업현장실습,김윤철,미지정,3,0,0
전공일반,ECH3067-41,공정제어및설계,이동엽,목09:00-10:15【26502】 목10:30-11:45【26502】,3,4.61,27
실험실습,ECH3068-42,물리화학기초실험,엄숭호,화18:00-18:50【24209】 화19:00-19:50【24209】 화20:00-20:50【24209】 화21:00-21:45【24209】,2,4.38,34
실험실습,ECH3068-43,물리화학기초실험,조새벽,수18:00-18:50【24209】 수19:00-19:50【24209】 수20:00-20:50【24209】 수21:00-21:45【24209】,2,4.67,36
실험실습,ECH3068-44,물리화학기초실험,김재윤,목18:00-18:50【24209】 목19:00-19:50【24209】 목20:00-20:50【24209】 목21:00-21:45【24209】,2,4.46,34
전공(대학원)/전공,ECH4015-41,석사논문연구2,이준엽,미지정,3,0,2
전공(대학원)/전공,ECH7001-41,화학및생물공정최적화,이동엽,수12:00-13:15【26421】 수13:30-14:45【26421】,3,0,3
전공(대학원)/전공,ECH7009-41,화학공학데이터사이언스,권석준,목10:30-11:45【26421】【1.5h(ON)+1.5h(OFF)】,3,0,6
전공일반,EEE3006-42,광학기초,박형원,수10:30-11:45【22110】【1.5h(ON)+1.5h(OFF)】,3,4.29,22
전공일반,ECH3062-I1,디스플레이소재및공정,이준엽,【iCampus 수업】,3,4.8,211
전공핵심,PAD2003-01,헌법,이황희,화18:00-19:15【2B113】 화19:30-20:45【2B113】,3,4.81,84
전공일반,PAD3002-01,행정법각론,문광진,금09:00-10:15【61801】 금10:30-11:45【61801】,3,0,62
